" RANKING OF TOP 1,000 GLOBAL COMPANIES BY R&D INVESTMENT WITHIN INDUSTRY"
,,,,,,,,,"2009 R&D investment",,,,,,"Operating profit",,,,"Sales and employees",,,,,,"R&D and employees",,,,,,Sales,,
,,,,,,,,,,Growth,,÷ operating,,R&D + capex,,Growth,,,Sales,,,Sales ÷ employees,,,Employees,,,R&D ÷ employees ,,,outside,Market cap,,R&D spend,,
"Ford Motor, USA",USA,,,*,3,3353,Automobiles,FT Global 500,3034.24,-33,-35,158.1,4.1,8.0,1919,,680,2.6,73260,-19,-28,370.0,-13,-6,198000,-7,-24,15.3,-28,-15,,25343,62,4520.40,4644.25,4458.48,4953.87
"Nissan Motor, Japan",Japan,,,*,3,3353,Automobiles,FT Global 500,3029.78,0,3,,5.4,17.8,-1759,-136,-135,-3.1,56121,-22,-14,319.3,-20,-10,175766,-3,-4,17.2,2,8,52,21045,-2,3043.08,3092.02,2977.23,2648.41
"BMW, Germany",Germany,,,,3,3353,Automobiles,FT Global 500,2175.03,-15,-21,1092.9,5.1,28.1,199,-74,-93,0.5,42472,-10,-7,441.5,-5,-3,96207,-5,-4,22.6,-10,-17,47,21104,18,2544.65,2793.43,2850.29,2767.66
"Peugeot (PSA), France",France,,,,3,3353,Automobiles,Listed,2055.98,-2,6,,4.8,8.3,-1220,,-320,-2.8,43018,-11,-15,231.0,-4,-5,186220,-8,-10,11.0,6,17,,3948,-7,2107.51,1842.74,1932.48,1911.15
"Denso, Japan",Japan,,,*,3,3355,Auto parts,FT Global 500,1976.57,-5,9,,9.5,19.6,-520,-122,-128,-2.5,20904,-22,-8,174.3,-23,-15,119919,1,9,16.5,-5,1,32,15220,-9,2071.87,1861.78,1705.12,1584.73
"Fiat, Italy",Italy,,,,3,3353,Automobiles,Listed,1503.33,-15,-2,446.4,3.4,8.8,337,-88,-82,0.8,43801,-17,-8,229.7,-14,-13,190651,-4,6,7.9,-11,-7,,9051,3,1764.55,1546.87,1419.81,1384.27
"Renault, France",France,,,,3,3353,Automobiles,Listed,1459.80,-26,-30,,5.0,11.5,-2221,-1643,-200,-7.6,29106,-10,-17,234.1,-5,-12,124307,-5,-5,11.7,-23,-26,,7742,-3,1985.78,2187.47,2132.39,2011.55
"Continental, Germany",Germany,,,,3,3357,Tyres,Listed,1248.60,-8,55,,7.0,11.1,-950,,-197,-5.3,17855,-17,16,133.8,-8,-13,133416,-10,32,9.4,3,21,,7269,110,1354.24,748.20,602.22,524.57
"Hyundai Motor, South Korea",South Korea,,,*,3,3353,Automobiles,FT Global 500,1188.45,2,20,34.2,2.4,6.6,3479,114,124,7.2,48639,15,35,,,,,,,,,,,17503,53,1164.87,1166.47,770.83,862.93
"Aisin Seiki, Japan",Japan,,,*,3,3355,Auto parts,Listed,771.57,1,13,,5.2,15.7,-81,-106,-109,-0.6,14730,-18,-2,201.2,-18,-15,73201,0,16,10.5,1,-3,,4861,2,767.15,690.13,632.91,635.55
"Suzuki Motor, Japan",Japan,,,*,3,3353,Automobiles,Listed,764.70,6,22,171.8,3.8,10.6,445,-55,-46,2.2,19988,-14,2,652.9,41,47,30613,-39,-30,25.0,74,75,32,6885,-15,723.33,612.91,598.11,577.75
"Porsche, Germany",Germany,,,,3,3353,Automobiles,Listed,660.15,-17,22,,11.3,11.3,-1183,-115,-130,-20.3,5833,-12,-8,456.1,-17,-18,12788,6,12,51.6,-22,10,,2523,-32,799.33,652.24,398.49,313.99
"Mazda Motor, Japan",Japan,,,*,3,3353,Automobiles,Listed,638.35,-16,-6,,3.8,5.7,-446,-140,-146,-2.6,16868,-27,-18,423.3,-28,-23,39852,1,7,16.0,-17,-12,53,2566,2,760.97,715.42,636.78,604.26
"Bridgestone, Japan",Japan,,,*,3,3357,Tyres,Listed,570.50,-8,-1,142.9,3.3,10.7,399,-36,-68,2.3,17275,-20,-16,126.0,-19,-20,137135,-1,5,4.2,-7,-6,57,9182,-1,620.30,577.03,576.63,528.25
"Delphi Automotive, USA",USA,*,,*,3,3355,Auto parts,Unlisted,557.31,-53,-56,,8.8,11.3,-56,-103,,-0.9,6355,-50,-59,,,,,,,,,,,,,1176.54,1238.47,1300.39,1362.31
"Valeo, France",France,,,,3,3355,Auto parts,Listed,550.87,-21,-21,1240.0,8.3,12.6,44,,-76,0.7,6663,-13,-22,127.9,-15,-7,52110,2,-17,10.6,-23,-6,34,1622,27,698.36,701.91,701.02,692.14
"ZF, Germany",Germany,,,,3,3355,Auto parts,Unlisted,538.43,-10,-2,,6.5,12.0,-354,-152,-157,-4.2,8326,-25,-21,137.7,-24,-26,60480,-1,6,8.9,-9,-8,,,,595.29,591.74,518.88,492.23
"Michelin, France",France,,,,3,3357,Tyres,Listed,449.58,1,-9,115.3,3.4,7.5,390,-49,-63,3.0,13156,-10,-9,116.9,-4,0,112527,-6,-9,4.0,8,0,54,7090,4,443.36,507.33,525.10,502.00
"Yamaha Motor, Japan",Japan,,,*,3,3353,Automobiles,Listed,412.85,-27,-22,,5.4,9.5,-1122,-517,-283,-14.6,7674,-28,-27,153.5,-28,-35,49994,0,12,8.3,-27,-31,32,3024,47,566.00,569.06,512.64,476.38
"Hella, Germany",Germany,,,,3,3355,Auto parts,Unlisted,308.74,-3,13,580.7,10.6,18.0,53,-75,-45,1.8,2919,-17,-7,127.7,-10,1,22847,-8,-7,13.5,5,22,26,,,316.91,286.09,253.75,234.65
"Fuji Heavy Industries, Japan",Japan,,,*,3,3353,Automobiles,Listed,284.90,-18,-15,,3.0,7.0,-185,-174,-172,-1.9,9617,-8,-3,347.7,-12,-8,27659,5,5,10.3,-21,-19,52,2713,24,346.03,337.31,304.71,346.17
"Mitsubishi Motors, Japan",Japan,,,*,3,3353,Automobiles,Listed,238.19,4,-30,,1.8,6.4,-254,-154,-398,-1.9,13128,-26,-14,411.5,-23,-6,31905,-4,-8,7.5,8,-23,44,4470,-26,230.06,274.89,401.40,457.48
"Toyota Industries, Japan",Japan,,,*,3,3353,Automobiles,Listed,223.81,-8,2,,2.1,9.9,-335,-149,-164,-3.2,10538,-21,-4,264.0,-22,-16,39916,1,14,5.6,-9,-11,31,5304,-4,244.45,229.81,207.31,199.89
"MAHLE, Germany",Germany,,,*,3,3355,Auto parts,Unlisted,218.99,-14,-4,,6.4,6.4,-221,-256,-185,-6.4,3433,-23,-16,77.9,-15,-21,44072,-10,5,5.0,-4,-9,54,,,254.01,246.71,214.68,194.18
"Goodyear, USA",USA,,,*,3,3357,Tyres,Listed,208.68,-8,-8,,2.1,6.6,-16,-106,-104,-0.2,10094,-16,-19,146.3,-9,-10,69000,-8,-9,3.0,0,1,,1501,-44,226.64,230.36,222.31,226.02
"Johnson Controls, USA",USA,,,*,3,3355,Auto parts,FT Global 500,208.06,-21,-23,1050.0,1.2,3.4,20,-98,-98,0.1,17646,-25,-14,135.7,-19,-12,130000,-7,-2,1.6,-15,-22,,11412,22,262.56,304.04,260.08,256.98
"Visteon, USA",USA,,,*,3,3355,Auto parts,Listed,203.11,-24,-44,119.3,4.9,7.2,170,,,4.1,4140,-30,-46,140.3,-20,-21,29500,-12,-30,6.9,-14,-19,,47,-70,268.75,315.81,367.83,497.86
"Autoliv, USA",USA,,,*,3,3355,Auto parts,Listed,199.64,-12,-17,475.5,6.3,9.0,42,-78,-85,1.3,3171,-21,-20,83.7,-29,-21,37900,11,0,5.3,-21,-17,51,2897,65,227.38,245.03,246.21,238.90
"Toyota Boshoku, Japan",Japan,,,*,3,3355,Auto parts,Listed,192.69,-9,18,184.0,3.0,9.1,105,-77,-64,1.6,6517,-21,7,240.7,-21,-17,27078,1,12,7.1,-9,-6,,1758,-20,210.98,175.63,165.16,101.35
"Dongfeng Motor, Hong Kong",Hong Kong,,,,3,3353,Automobiles,Listed,189.30,44,101,26.1,2.3,5.6,724,76,143,8.7,8323,30,67,88.5,28,,94066,1,45,2.0,42,,,7059,20,131.52,98.78,82.09,65.22
"Calsonic Kansei, Japan",Japan,,,*,3,3355,Auto parts,Listed,183.45,-1,-1,,4.1,7.8,-143,-6500,-386,-3.2,4453,-20,-9,293.8,-21,-9,15155,2,-1,12.1,-3,0,33,481,14,185.81,191.09,190.06,172.91
"Behr, Germany",Germany,,,,3,3355,Auto parts,Unlisted,183.03,-19,-12,,8.3,8.3,-170,,-332,-7.7,2193,-26,-24,128.4,-18,-16,17071,-9,-9,10.7,-11,-4,,,,225.68,214.13,203.47,191.03
"Rheinmetall, Germany",Germany,,,,3,3355,Auto parts,Listed,175.92,-1,13,1237.5,5.8,8.7,14,-93,-93,0.5,3039,-12,-9,151.1,-13,-13,20115,1,5,8.7,-2,7,29,1404,12,176.81,159.04,150.16,138.61
"Toyoda Gosei, Japan",Japan,,,*,3,3355,Auto parts,Listed,165.21,-4,-1,237.3,4.5,4.5,70,-81,-66,1.9,3634,-18,0,140.9,-14,-16,25792,-5,18,6.4,0,-19,,1747,-27,172.88,161.79,168.37,162.98
"Tata Motors, India",India,,,*,3,3353,Automobiles,Listed,155.82,-21,19,51.5,1.3,7.1,303,,3,2.5,12312,30,127,,,,,,,,,,,7444,175,196.50,159.15,106.04,63.36
"SAIC Motor, China",China,,,*,3,3353,Automobiles,FT Global 500,129.53,,,15.9,1.0,2.9,813,2726,,6.4,12666,32,,2896.4,,,4373,,,29.6,,,,11690,,,,,
"Ssangyong Motor, South Korea",South Korea,,,*,3,3353,Automobiles,Listed,126.90,52,47,,9.6,14.5,-372,-2177,,-28.0,1327,-20,-21,,,,,,,,,,,209,-26,83.35,83.61,92.33,
"Koito Manufacturing, Japan",Japan,,,*,3,3355,Auto parts,Listed,125.05,-10,-7,238.6,4.7,11.5,52,-74,-68,2.0,2662,-15,-5,182.8,-11,-7,14562,-5,2,8.6,-5,-9,,1367,1,138.36,137.69,135.70,127.72
"Takata, Japan",Japan,,,*,3,3355,Auto parts,Listed,124.93,-17,-13,,4.9,9.3,-46,-119,-118,-1.8,2564,-25,-22,90.3,-8,-3,28406,-19,-19,4.4,2,8,65,1010,-2,150.62,144.92,135.52,
"Pirelli, Italy",Italy,,,,3,3357,Tyres,Listed,121.72,-12,-19,114.5,3.1,8.1,106,,,2.7,3965,-9,-21,134.1,-3,-25,29565,-6,3,4.1,-6,-22,52,2008,35,138.61,153.71,151.93,154.60
"Sumitomo Rubber Industries, Japan",Japan,,,*,3,3357,Tyres,Listed,119.62,-7,1,84.1,3.4,10.1,142,-2,-45,4.1,3489,-13,-5,167.5,-15,-10,20832,2,4,5.7,-9,-4,19,1579,5,128.72,121.22,115.02,108.15
"Tokai Rika, Japan",Japan,,,*,3,3355,Auto parts,Listed,119.11,-2,1,1293.9,5.3,11.5,9,-96,-94,0.4,2244,-23,-12,151.3,-24,-21,14838,0,12,8.0,-3,-10,,927,-17,121.89,117.96,118.54,111.99
"NGK Spark Plug, Japan",Japan,,,*,3,3355,Auto parts,Listed,116.91,1,12,,6.0,16.3,-271,-216,-206,-14.0,1943,-15,-4,162.2,-18,-17,11979,3,16,9.8,-2,-4,58,1819,8,116.04,108.11,97.73,95.52
"Hyundai Mobis, South Korea",South Korea,,,*,3,3355,Auto parts,FT Global 500,105.86,64,119,9.5,1.2,3.2,1110,67,104,12.1,9163,24,52,,,,,,,,,,,10679,70,64.52,49.38,43.27,36.07
"ZF Lenksysteme, Germany",Germany,,,,3,3355,Auto parts,Unlisted,104.75,0,20,,5.4,10.1,-87,-341,-248,-4.4,1952,-15,-10,194.6,-10,-12,10031,-5,2,10.4,6,18,,,,104.58,101.47,82.10,60.95
"Yokohama Rubber, Japan",Japan,,,*,3,3357,Tyres,Listed,101.62,0,4,,3.0,11.1,-12,-108,-108,-0.3,3441,-6,8,205.1,-10,-4,16772,4,13,6.1,-4,-8,,1047,-5,101.70,97.44,96.83,94.89
"TOFAS, Turkey",Turkey,,,,3,3353,Automobiles,Listed,98.82,-19,218,97.8,4.7,9.4,101,4,80,4.8,2108,6,46,300.5,32,28,7014,-19,14,14.1,0,288,,1143,,121.96,0.00,1.90,0.56
"BorgWarner, USA",USA,,,*,3,3355,Auto parts,Listed,96.11,-25,-19,214.1,3.9,8.3,45,30,-75,1.8,2453,-25,-19,196.3,-17,6,12500,-9,-25,7.7,-17,6,,3199,46,127.38,130.53,116.23,99.70
"TRW Automotive, USA",USA,,,*,3,3355,Auto parts,Listed,95.98,-25,-19,46.5,1.3,1.3,206,,-9,2.9,7192,-23,-16,125.1,-12,-6,57500,-12,-11,1.7,-15,-9,,2728,112,127.56,115.80,104.03,125.70
"GKN, UK",UK,,,,3,3355,Auto parts,Listed,95.00,-2,11,166.7,2.3,5.1,57,,-52,1.4,4223,-3,9,119.6,4,15,35315,-7,-5,2.7,6,17,,2107,17,97.00,83.00,75.00,88.00
"Harley-Davidson, USA",USA,,,*,3,3353,Automobiles,Listed,88.61,-12,-26,73.0,3.0,5.4,121,-81,-86,4.1,2961,-15,-18,405.6,9,2,7300,-22,-20,12.1,12,-8,25,3729,13,101.25,124.84,133.63,121.06
"Mahindra & Mahindra, India",India,,,*,3,3355,Auto parts,Listed,88.47,29,138,13.4,2.9,12.5,658,72,95,21.3,3087,22,56,,,,,,,,,,,4811,70,68.62,38.54,25.06,16.77
"Dana, USA",USA,,,*,3,3355,Auto parts,Listed,73.69,-43,-47,,2.3,4.2,-237,,,-7.3,3237,-35,-43,134.9,-21,-11,24000,-17,-37,3.1,-32,-17,,965,248,130.38,117.04,136.85,170.29
"Eberspaecher, Germany",Germany,,,*,3,3355,Auto parts,Unlisted,70.37,-4,12,,5.9,8.4,-41,-156,-180,-3.5,1192,-40,-34,226.7,-36,-29,5260,-6,-8,13.4,2,21,,,,73.39,62.37,56.42,59.00
"Burelle, France",France,,,,3,3355,Auto parts,Listed,65.39,-34,-30,114.3,3.0,5.8,57,,7,2.6,2189,-10,-6,175.9,-5,-4,12441,-5,-2,5.3,-31,-29,,239,113,99.65,85.06,93.60,93.71
"ArvinMeritor, USA",USA,,,*,3,3355,Auto parts,Listed,63.78,-24,-33,,2.2,4.6,-237,-285,-1643,-8.3,2859,-36,-48,216.6,-3,-9,13200,-33,-44,4.8,14,19,,832,127,84.22,76.79,109.60,108.37
"IMMSI, Italy",Italy,,,,3,3353,Automobiles,Listed,62.19,-6,-6,95.5,4.3,6.9,65,18,-3,4.5,1434,-7,-6,187.7,-5,-7,7641,-2,1,8.1,-4,-8,,211,-21,65.94,63.71,59.52,76.17
"Tenneco, USA",USA,,,*,3,3355,Auto parts,Listed,60.07,35,46,105.4,2.1,4.7,57,,-59,2.0,2879,-21,-12,137.1,-21,-16,21000,0,5,2.9,35,40,,967,107,44.59,47.68,35.92,35.92
"Toyo Tire, Japan",Japan,,,*,3,3357,Tyres,Listed,58.29,-9,-10,,2.7,11.1,-43,-171,-168,-2.0,2184,-8,5,313.3,-4,3,6972,-4,2,8.4,-5,-13,,339,1,63.98,63.91,66.86,65.13
"Lear, USA",USA,*,,*,3,3355,Auto parts,Listed,53.20,-24,-42,6.6,0.9,1.8,802,,1086,13.2,6063,-28,-39,80.8,-23,-22,75000,-6,-23,0.7,-19,-24,,2390,17446,69.97,83.35,105.15,107.75
"NOK, Japan",Japan,,,*,3,3355,Auto parts,Listed,52.90,-13,,145.1,1.7,14.5,36,-88,-89,1.2,3104,-11,0,88.8,-15,,34969,4,,1.5,-17,,,1662,19,60.86,53.22,,
"Hankook Tire, South Korea",South Korea,,,*,3,3357,Tyres,Listed,52.57,4,17,16.1,1.9,7.2,327,228,157,12.0,2736,15,55,,,,,,,,,,,2043,37,50.40,50.83,39.89,38.33
"AvtoVAZ, Russia",Russia,,,,3,3353,Automobiles,Listed,50.93,-79,-37,,2.4,7.5,-987,,-12490,-46.8,2109,-46,-43,20.3,-32,-24,103852,-21,-26,0.5,-74,-19,,418,30,244.04,26.33,27.58,23.98
