Company,Company ID,Country,Country GDP $,Not IFRS,Industry group,ICB code,Industry description,Listing status,2009 R&D investment,1 Yr R&D investment growth%,4 Yr R&D investment growth%,R&D investment / operation profit%,R&D investment / sales%,R&D + capex / sales%,Operating profit,If made profit,1 Yr operating profit%,4 Yr operating profit%,Operating profit / sales%,Sales,1 Yr sales growth%,4 Yr sales growth%,Employees,1 Yr employees growth%,4 Yr employees growth%,R&D / employees ,1 Yr R&D / employees growth%,4 Yr R&D / employees growth%,Sales outside region%,Market cap,Market cap change%,If market cap increase,R&D spend 2008,R&D spend 2007,R&D spend 2006,R&D spend 2005
"Yakult Honsha, Japan",546,Japan,5470777391091.97,*,14,3577,Food products,Listed,61.52,3,26,119.5,3.2,12.7,51,Yes,-74,-71,2.6,1952,-8,6,17361,10,16,3.5,-6,8,,3168,32,Yes,59.55,44.87,46.34,45.07
"Pace, UK",25,UK,2427911661952.04,,39,9578,Telecommunications equipment,Listed,71.71,20,83,103.8,6.3,7.5,69,Yes,376,1210,6.1,1133,52,161,1058,39,63,67.8,-13,14,62,637,-3,No,59.58,36.87,31.33,28.77
"Valspar, USA",872,USA,14617299295858.1,*,7,2353,Building materials & fixtures,Listed,56.54,-5,5,31.6,3.2,5.2,179,Yes,1,-2,10.0,1783,-17,-7,8800,-6,-4,6.4,1,8,,1873,13,Yes,59.79,55.93,51.15,49.10
"Schindler, Switzerland",669,Switzerland,566764598976.798,,21,2757,Industrial machinery,Listed,65.30,9,1,11.3,0.9,1.7,580,Yes,9,43,7.6,7603,-10,6,44086,-2,2,1.5,12,-1,,6805,39,Yes,59.91,65.30,66.50,65.90
"Ingenico, France",736,France,2592078593347.73,,9,2737,Electronic equipment,Listed,74.28,24,63,173.8,11.9,13.8,43,Yes,-16,84,6.9,623,-4,25,2830,13,76,26.2,10,-12,45,759,18,Yes,60.02,41.04,38.13,43.21
"Praxair, USA",966,USA,14617299295858.1,*,6,1353,Commodity chemicals,FT Global 500,45.82,-24,-18,4.6,0.8,15.9,1003,Yes,-15,0,18.1,5546,-17,-1,26164,-3,-4,1.8,-21,-15,,16543,12,Yes,60.07,60.69,53.87,49.54
"Qiagen, The Netherlands",417,The Netherlands,835338475725.744,*,34,4573,Biotechnology,Listed,66.82,11,80,59.2,10.7,15.9,113,Yes,24,71,18.1,625,13,68,3495,15,51,19.1,-4,22,,2601,1,Yes,60.27,39.10,25.24,24.21
"Asahi Breweries, Japan",556,Japan,5470777391091.97,*,5,3533,Brewers,Listed,62.14,3,8,11.5,0.6,3.0,541,Yes,-11,-9,5.5,9795,1,1,17316,6,12,3.6,-3,-3,,5457,14,Yes,60.37,57.39,56.43,55.16
"Enel, Italy",272,Italy,2098071668645.46,,8,7535,Conventional electricity,FT Global 500,78.19,29,133,0.9,0.1,10.4,9105,Yes,12,51,16.4,55446,4,42,83418,11,32,0.9,16,83,14,28323,-14,No,60.42,31.99,23.99,17.77
"Gedeon Richter, Hungary",369,Hungary,130270187025.747,,34,4577,Pharmaceuticals,Listed,77.49,28,48,47.6,8.8,16.6,163,Yes,41,22,18.5,878,13,27,10394,0,15,7.5,28,30,,2364,8,Yes,60.50,59.39,47.63,41.50
"NOK, Japan",598,Japan,5470777391091.97,*,3,3355,Auto parts,Listed,52.90,-13,,145.1,1.7,14.5,36,Yes,-88,-89,1.2,3104,-11,0,34969,4,,1.5,-17,,,1662,19,Yes,60.86,53.22,,
"Chunghwa Telecom, Taiwan",294,Taiwan,392106000000,*,12,6535,Fixed line telecommunications,FT Global 500,61.43,1,14,5.6,1.6,14.4,1100,Yes,-3,2,28.7,3840,-2,3,24668,-9,-6,2.5,11,21,,12032,6,Yes,60.87,50.07,54.68,49.97
"Bekaert, Belgium",888,Belgium,467559394365.929,,22,1757,Iron & steel,Listed,56.36,-7,15,23.9,2.6,9.4,236,Yes,-1,31,10.9,2166,-8,11,18103,7,29,3.1,-13,-11,,2538,59,Yes,60.89,50.38,44.04,39.96
"Tohoku Electric Power, Japan",274,Japan,5470777391091.97,*,8,7535,Conventional electricity,Listed,63.32,4,0,282.0,0.5,15.4,22,Yes,-96,-97,0.2,12261,2,8,22662,2,1,2.8,2,-1,,6878,7,Yes,61.14,60.11,62.86,68.79
"Sysmex, Japan",466,Japan,5470777391091.97,*,19,4535,Medical equipment,Listed,71.65,17,31,72.7,9.6,18.0,99,Yes,0,24,13.2,744,1,19,4148,6,24,17.3,10,4,53,2019,56,Yes,61.34,60.04,54.44,43.30
"Bharat Heavy Electricals, India",663,India,1544380310593.35,*,21,2757,Industrial machinery,FT Global 500,91.82,49,178,17.0,2.6,4.9,539,Yes,14,44,15.3,3525,37,78,45666,5,7,2.0,42,125,,16171,16,Yes,61.71,33.49,20.19,16.66
"Taisei, Japan",857,Japan,5470777391091.97,*,7,2357,Heavy construction,Listed,62.97,2,3,,0.6,0.6,-242,No,-195,-196,-2.2,10917,-4,-7,15260,-1,-6,4.1,3,9,2,1446,-4,No,61.82,60.65,62.43,59.83
"Medicis Pharmaceutical, USA",393,USA,14617299295858.1,*,34,4577,Pharmaceuticals,Listed,44.44,-28,-22,54.3,12.5,13.5,82,Yes,415,523,23.1,354,10,34,612,6,36,72.6,-32,-45,,991,54,Yes,61.87,24.42,100.22,40.67
"Illumina, USA",412,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,87.07,41,143,110.9,21.1,28.9,79,Yes,58,,19.0,413,16,122,1781,16,101,48.9,21,22,,3522,23,Yes,61.90,45.79,19.87,16.05
"Tekelec, USA",27,USA,14617299295858.1,*,39,9578,Telecommunications equipment,Listed,62.13,0,-14,143.9,21.4,25.4,43,Yes,10,,14.9,291,2,-8,1101,1,-15,56.4,-2,-1,,475,-31,No,62.30,57.11,91.92,77.82
"Silicon Laboratories, USA",94,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,64.64,3,1,157.2,23.7,25.7,41,Yes,54,71,15.1,273,6,4,736,1,10,87.8,2,-8,88,1089,-7,No,62.67,55.31,75.37,62.68
"Gameloft, France",194,France,2592078593347.73,,37,9537,Software,Listed,55.36,-12,28,1493.8,51.1,53.0,4,Yes,,,3.4,108,11,52,4153,3,40,13.3,-15,-8,61,204,11,Yes,62.78,48.31,36.61,25.32
"Bang & Olufsen, Denmark",515,Denmark,316081424057.807,,24,3743,Consumer electronics,Listed,62.04,-2,2,,18.6,22.6,-59,No,-369,-229,-17.7,333,-32,-32,2303,-9,-5,26.9,8,8,20,213,-11,No,63.27,58.93,61.15,59.92
"Semiconductor Manufacturing, China",77,China,1565186460764.05,*,39,9576,Semiconductors,Listed,99.54,57,73,,15.0,35.3,-644,No,,,-97.1,663,-21,-23,10307,-3,3,9.7,62,67,,1130,62,Yes,63.31,60.09,58.31,48.84
"Mettler-Toledo International, USA",679,USA,14617299295858.1,*,21,2757,Industrial machinery,Listed,55.54,-12,0,35.9,5.2,8.7,155,Yes,-14,5,14.5,1071,-12,1,10400,4,11,5.3,-16,-10,54,2349,30,Yes,63.34,57.20,51.27,50.71
"Acciona, Spain",854,Spain,1418409880841.96,,7,2357,Heavy construction,Listed,81.92,29,169,11.7,1.2,58.5,703,Yes,-53,-19,10.0,6995,-38,-1,33112,-20,-5,2.5,62,209,,3245,-35,No,63.35,34.67,20.08,3.63
"GN Store Nord, Denmark",29,Denmark,316081424057.807,,39,9578,Telecommunications equipment,Listed,53.61,-15,4,,9.5,10.6,-3,No,-165,-108,-0.5,565,-16,-24,4355,-9,-15,12.3,-7,20,57,902,45,Yes,63.40,64.36,47.64,31.16
"Serco, UK",636,UK,2427911661952.04,,38,2791,Business support services,Listed,64.40,1,-2,30.1,1.6,2.9,214,Yes,44,73,5.4,3970,27,48,57710,35,43,1.1,-25,-31,,2661,30,Yes,63.60,75.50,77.30,45.30
"DnB NOR, Norway",251,Norway,425768848675.368,,4,8355,Banks,FT Global 500,76.22,20,97,6.5,1.9,7.2,1180,Yes,-9,-18,29.3,4023,9,25,14159,0,14,5.4,20,77,,11722,58,Yes,63.67,33.12,34.20,23.48
"Verigy, Singapore",100,Singapore,209393611470.456,*,39,9576,Semiconductors,Listed,56.97,-11,,,28.5,31.0,-79,No,-806,,-39.3,200,-53,,1500,-9,,38.0,-2,,,301,-33,No,63.78,56.35,,
"Glory, Japan",671,Japan,5470777391091.97,*,21,2757,Industrial machinery,Listed,61.22,-4,-11,98.6,6.3,10.7,62,Yes,-55,-42,6.4,971,-21,-14,5510,3,6,11.1,-7,-17,20,905,0,No,63.96,62.06,63.02,86.79
"Toyo Tire, Japan",564,Japan,5470777391091.97,*,3,3357,Tyres,Listed,58.29,-9,-10,,2.7,11.1,-43,No,-171,-168,-2.0,2184,-8,5,6972,-4,2,8.4,-5,-13,,339,1,Yes,63.98,63.91,66.86,65.13
"Sasol, South Africa",998,South Africa,364276420244.386,,31,533,Exploration & production,FT Global 500,77.54,21,96,3.6,0.7,12.1,2175,Yes,-22,11,18.8,11591,6,53,33544,-1,5,2.3,23,89,,15694,12,Yes,64.00,58.03,17.24,19.09
"ALTANA, Germany",924,Germany,3260114884059.16,,6,1357,Specialty chemicals,Listed,63.59,-1,-74,150.5,6.1,10.1,42,Yes,-71,-90,4.0,1050,-12,-52,4703,-1,-48,13.5,0,-40,53,1739,11,Yes,64.03,59.92,439.52,413.11
"Kajima, Japan",856,Japan,5470777391091.97,*,7,2357,Heavy construction,Listed,66.48,4,4,,0.5,1.4,-4,No,-102,-102,0.0,12961,3,8,15608,5,,4.3,-1,,9,1562,-20,No,64.13,60.68,63.29,66.68
"Abraxis Bioscience, USA",410,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,95.74,49,78,,43.1,69.4,-68,No,,,-30.7,222,4,-27,885,21,-25,108.2,24,85,,1887,157,Yes,64.15,54.94,56.16,39.81
"GSI Commerce, USA",222,USA,14617299295858.1,*,37,9533,Computer services,Listed,74.42,16,97,1170.4,12.0,12.0,6,Yes,,,1.0,622,4,45,5500,23,68,13.5,-6,15,,910,74,Yes,64.39,40.81,28.10,17.61
"Denki Kagaku Kogyo, Japan",922,Japan,5470777391091.97,*,6,1357,Specialty chemicals,Listed,68.41,6,17,524.5,3.1,3.1,13,Yes,-89,-91,0.6,2223,-8,4,4783,3,2,14.3,3,15,,1341,25,Yes,64.52,55.46,58.59,56.16
"Yaskawa Electric, Japan",741,Japan,5470777391091.97,*,9,2737,Electronic equipment,Listed,64.56,0,14,56.6,2.8,5.2,114,Yes,-54,-24,4.9,2330,-8,1,8463,1,7,7.6,-2,7,,1113,-1,No,64.78,55.99,53.70,51.47
"Iberdrola, Spain",271,Spain,1418409880841.96,,8,7535,Conventional electricity,FT Global 500,80.44,24,46,2.0,0.4,21.8,3945,Yes,4,37,18.1,21820,-3,50,32711,16,54,2.5,6,-7,,23111,-17,No,64.95,57.75,49.76,47.98
"Norsk Hydro, Norway",894,Norway,425768848675.368,,22,1753,Aluminium,Listed,73.97,14,8,,1.0,5.2,-80,No,-194,-102,-1.1,7226,-24,-57,20757,-10,-30,3.6,27,53,24,4987,10,Yes,64.96,54.35,77.93,76.75
"F5 Networks, USA",26,USA,14617299295858.1,*,39,9578,Telecommunications equipment,Listed,64.19,-1,63,85.0,15.9,17.7,75,Yes,21,32,18.7,404,0,41,1646,-3,28,39.0,2,32,45,4180,137,Yes,65.08,42.75,30.45,19.41
"Kyushu Electric Power, Japan",273,Japan,5470777391091.97,*,8,7535,Conventional electricity,Listed,68.46,5,6,11.9,0.7,17.6,574,Yes,-21,-44,5.7,10139,3,7,19129,1,3,3.6,4,3,,6633,6,Yes,65.14,63.22,65.11,65.56
"DEUTZ, Germany",665,Germany,3260114884059.16,,21,2757,Industrial machinery,Listed,76.23,17,28,,9.9,15.0,-83,No,-726,-252,-10.9,767,-42,-43,4287,-12,-18,17.8,33,55,24,446,29,Yes,65.22,57.66,59.09,55.98
"Nektar Therapeutics, USA",422,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,58.90,-10,13,,132.2,155.0,-58,No,,,-131.1,45,-20,-59,335,-1,-46,175.8,-9,78,,827,90,Yes,65.32,41.89,57.64,43.38
"Air Products and Chemicals, USA",962,USA,14617299295858.1,*,6,1353,Commodity chemicals,Listed,53.44,-18,-35,9.0,1.0,15.1,595,Yes,-27,-22,11.5,5190,-23,-13,18900,-10,-10,2.8,-9,-28,,9960,3,Yes,65.45,86.82,93.75,82.17
"Medicines, USA",372,USA,14617299295858.1,*,34,4577,Pharmaceuticals,Listed,72.83,11,51,,29.1,29.2,-16,No,,,-6.3,250,16,67,462,2,40,157.6,9,8,,427,66,Yes,65.47,47.84,39.34,39.87
"Yamatake, Japan",742,Japan,5470777391091.97,*,9,2737,Electronic equipment,Listed,64.10,-2,10,57.5,4.1,7.0,111,Yes,-1,25,7.1,1571,-5,11,8377,1,5,7.7,-3,4,,1185,25,Yes,65.48,58.38,55.61,54.35
"International Rectifier, USA",97,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,60.82,-7,-12,,13.3,16.1,-161,No,,-437,-35.1,458,-25,-35,3939,-23,-31,15.4,20,27,,798,6,Yes,65.52,76.04,68.99,64.94
"Open Text, Canada",187,Canada,1565186460764.05,*,37,9537,Software,Listed,71.93,10,50,120.1,14.8,16.3,60,Yes,-4,101,12.3,487,8,46,3411,17,40,21.1,-6,8,50,1341,-3,No,65.57,48.96,36.65,40.34
"Sumitomo Heavy Industries, Japan",666,Japan,5470777391091.97,*,21,2757,Industrial machinery,Listed,71.10,8,33,29.6,1.7,6.0,240,Yes,-50,-36,5.6,4277,-3,10,14984,4,21,4.7,4,10,,1907,-1,No,65.57,57.20,49.50,42.02
"IMMSI, Italy",627,Italy,2098071668645.46,,3,3353,Automobiles,Listed,62.19,-6,-6,95.5,4.3,6.9,65,Yes,18,-3,4.5,1434,-7,-6,7641,-2,1,8.1,-4,-8,,211,-21,No,65.94,63.71,59.52,76.17
"TIBCO Software, USA",189,USA,14617299295858.1,*,37,9537,Software,Listed,67.31,2,21,122.4,17.5,18.4,55,Yes,35,37,14.3,385,-4,14,2097,1,19,32.1,1,2,,1342,32,Yes,66.01,57.54,53.21,45.29
"Minebea, Japan",670,Japan,5470777391091.97,*,21,2757,Industrial machinery,Listed,62.91,-5,0,99.8,3.7,10.9,63,Yes,-70,-56,3.7,1704,-23,-20,48443,-4,-1,1.3,-1,1,25,1225,1,Yes,66.19,59.87,60.19,66.60
"Tokyo Gas, Japan",263,Japan,5470777391091.97,*,16,7573,Gas distribution,Listed,60.96,-8,-3,12.3,0.6,8.6,497,Yes,9,-36,4.5,11043,12,25,15510,-2,-6,3.9,-6,2,,7524,20,Yes,66.19,68.35,62.52,55.44
"Gerdau, Brazil",889,Brazil,2054224952705.78,*,22,1757,Iron & steel,FT Global 500,45.29,-32,,15.5,0.5,5.7,292,Yes,-90,-83,3.1,9428,-37,1,38161,-17,9,1.2,-17,,41,11269,,No,66.25,28.56,,
"KPN, The Netherlands",293,The Netherlands,835338475725.744,,12,6535,Fixed line telecommunications,FT Global 500,70.19,5,54,2.8,0.6,11.3,2488,Yes,12,22,20.8,11951,-7,6,34925,-13,14,2.0,21,41,,13689,-11,No,66.64,82.63,15.10,17.77
"ASM International, The Netherlands",104,The Netherlands,835338475725.744,*,39,9576,Semiconductors,Listed,55.80,-16,-28,,10.6,12.8,-23,No,-148,-131,-4.4,525,-21,-29,11242,-6,6,5.0,-10,-34,93,766,30,Yes,66.65,73.39,80.50,89.44
"PerkinElmer, USA",745,USA,14617299295858.1,*,9,2737,Electronic equipment,Listed,61.30,-8,-3,73.1,5.9,7.7,84,Yes,-19,-15,8.1,1036,-14,-4,8200,4,-1,7.5,-12,-2,60,1565,23,Yes,66.92,69.12,61.75,54.10
"Hamamatsu Photonics, Japan",743,Japan,5470777391091.97,*,9,2737,Electronic equipment,Listed,63.33,-6,1,312.5,13.2,27.1,20,Yes,-85,-82,4.2,479,-27,-19,3793,1,8,16.7,-7,-7,52,1473,43,Yes,67.59,64.52,61.07,58.85
"THQ, USA",500,USA,14617299295858.1,*,24,3747,Toys,Listed,54.02,-20,-17,,9.7,10.4,-6,No,,,-1.1,557,8,-3,1680,-16,-16,32.2,-5,-1,,140,-46,No,67.62,79.80,60.13,52.17
"TOPCON, Japan",464,Japan,5470777391091.97,*,19,4535,Medical equipment,Listed,77.09,14,27,,10.3,13.4,-70,No,-192,-185,-9.4,749,2,4,4964,56,,15.5,-27,,,254,-16,No,67.70,62.69,51.31,
"Osaka Gas, Japan",262,Japan,5470777391091.97,*,16,7573,Gas distribution,Listed,63.88,-6,-10,13.0,0.7,8.3,490,Yes,-3,-16,5.6,8826,7,19,19009,14,17,3.4,-17,-23,,4946,11,Yes,67.71,65.89,75.33,75.86
"Software, Germany",186,Germany,3260114884059.16,,37,9537,Software,Listed,73.00,8,43,37.7,9.7,10.6,194,Yes,21,65,25.7,753,18,50,6170,73,100,11.8,-38,-28,,1951,41,Yes,67.73,58.55,39.86,38.38
"Moog, USA",848,USA,14617299295858.1,*,1,2713,Aerospace,Listed,61.94,-9,23,66.7,5.4,9.8,93,Yes,-27,-5,8.1,1145,-3,27,10005,13,29,6.2,-19,-2,40,892,24,Yes,67.87,63.54,42.66,26.97
"Rigel Pharmaceuticals, USA",383,USA,14617299295858.1,*,34,4577,Pharmaceuticals,Listed,55.73,-18,59,,12010.1,12028.9,-69,No,,,-14951.9,0.5,,-95,142,-22,-12,392.4,5,87,,260,38,Yes,67.91,35.77,14.55,21.99
"Salesforce.com, USA",181,USA,14617299295858.1,*,37,9537,Software,Listed,91.03,34,133,129.0,11.3,15.4,71,Yes,81,349,8.7,808,21,98,3969,11,66,22.9,20,50,,7750,115,Yes,67.95,46.36,27.63,14.45
"NSK, Japan",631,Japan,5470777391091.97,*,38,2797,Industrial suppliers,Listed,71.12,4,7,72.9,1.7,9.5,98,Yes,-78,-71,2.3,4308,-16,-4,24050,-4,5,3.0,9,2,29,2149,-2,No,68.12,67.18,64.71,65.23
"Endo Pharmaceuticals, USA",365,USA,14617299295858.1,*,34,4577,Pharmaceuticals,Listed,114.75,68,77,46.2,12.7,13.5,249,Yes,4,31,27.5,905,16,43,1487,22,43,77.2,38,21,,1772,15,Yes,68.25,85.61,51.28,54.68
"Seattle Genetics, USA",414,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,73.78,7,90,,229.3,238.1,-53,No,,,-163.3,32,47,168,289,11,56,255.3,-3,29,,751,9,Yes,68.70,40.14,24.85,21.48
"Clorox, USA",523,USA,14617299295858.1,*,20,3724,Nondurable household products,Listed,70.59,3,12,11.4,2.1,5.7,617,Yes,16,20,18.3,3375,3,13,8300,0,6,8.5,3,6,,5609,13,Yes,68.74,66.88,61.30,54.49
"Varian Semiconductor Equipment, USA",108,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,49.58,-28,-16,,22.1,24.1,-26,No,-128,-128,-11.8,224,-57,-55,1243,-20,-22,39.9,-11,7,71,1191,-13,No,68.88,64.42,56.11,48.09
"Inverness Medical Innovations (now Alere), USA",441,USA,14617299295858.1,*,19,4537,Medical supplies,Listed,69.88,1,70,79.4,5.6,10.6,88,Yes,150,,7.0,1252,21,131,11300,36,146,6.2,-26,-35,34,1477,-15,No,69.25,43.07,33.23,19.19
"Barco, Belgium",750,Belgium,467559394365.929,,9,2737,Electronic equipment,Listed,54.36,-22,-22,,9.6,10.2,-65,No,,-324,-11.5,567,-18,-17,3310,-9,-15,16.4,-14,-9,,374,-1,No,69.27,72.26,70.43,65.15
"Arris, USA",23,USA,14617299295858.1,*,39,9578,Telecommunications equipment,Listed,77.13,11,61,83.3,11.2,12.9,93,Yes,,303,13.5,686,-3,19,1884,3,41,40.9,8,0,,694,-33,No,69.69,44.11,40.89,37.24
"Zoran, USA",91,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,68.23,-2,7,,29.0,30.0,-23,No,,,-9.7,235,-13,-17,1243,-12,-6,54.9,11,13,93,258,-30,No,69.71,70.06,61.37,55.13
"Fairchild Semiconductor, USA",96,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,61.74,-12,-2,,8.4,13.4,-28,No,,-387,-3.8,735,-25,-25,8563,-12,-9,7.2,1,8,88,620,-11,No,69.91,67.99,66.57,48.05
"Lear, USA",597,USA,14617299295858.1,*,3,3355,Auto parts,Listed,53.20,-24,-42,6.6,0.9,1.8,802,Yes,,1086,13.2,6063,-28,-39,75000,-6,-23,0.7,-19,-24,,2390,17446,Yes,69.97,83.35,105.15,107.75
"RSA Insurance, UK",235,UK,2427911661952.04,,30,8532,Full line insurance,Listed,96.00,37,14,17.1,1.3,1.8,561,Yes,-24,-3,7.5,7458,4,15,22686,1,-3,4.2,36,20,,4394,8,Yes,70.00,51.00,94.00,122.00
"KWS SAAT, Germany",552,Germany,3260114884059.16,,14,3573,Farming & fishing,Listed,75.10,7,14,116.2,11.8,17.6,65,Yes,-2,24,10.1,637,20,34,3215,13,19,23.4,-5,-5,35,643,-11,No,70.15,65.43,65.46,63.39
"RealNetworks, USA",184,USA,14617299295858.1,*,37,9537,Software,Listed,73.97,5,31,,21.2,24.2,-151,No,,-352,-43.5,348,-7,19,1845,-7,14,40.1,14,11,,228,-1,No,70.39,63.61,47.92,43.80
"Cobham, UK",844,UK,2427911661952.04,,1,2713,Aerospace,Listed,88.40,25,62,30.9,4.7,8.7,286,Yes,122,84,15.2,1880,28,62,12044,12,21,7.3,11,34,,2497,11,Yes,70.60,55.20,49.30,42.90
"HORIBA, Japan",740,Japan,5470777391091.97,*,9,2737,Electronic equipment,Listed,65.39,-8,13,211.0,9.4,13.2,31,Yes,-57,-63,4.5,695,-22,-22,5133,0,6,12.7,-8,7,49,620,4,Yes,70.92,63.02,54.42,43.59
"Nuance Communications, USA",185,USA,14617299295858.1,*,37,9537,Software,Listed,73.96,4,63,184.5,12.6,14.6,40,Yes,105,225,6.8,588,9,82,5800,-5,81,12.8,9,-25,26,2764,26,Yes,71.20,49.55,36.78,24.27
"Campbell Soup, USA",545,USA,14617299295858.1,*,14,3577,Food products,Listed,70.59,-1,8,9.7,1.5,6.1,729,Yes,3,-3,15.5,4698,-10,-4,18700,-4,-17,3.8,3,28,,7609,15,Yes,71.21,69.35,61.30,58.83
"Stora Enso, Finland",896,Finland,241487608810.22,,15,1737,Paper,Listed,67.79,-5,-14,,0.9,5.5,-567,No,,,-7.1,7948,-23,-34,28696,-17,-32,2.4,15,26,20,4024,18,Yes,71.26,90.27,72.59,81.47
"Microchip Technology, USA",89,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,74.82,5,9,47.6,12.7,17.8,157,Yes,11,-16,26.8,587,5,-3,5418,11,16,13.8,-6,-7,,3312,8,Yes,71.54,74.84,70.41,58.78
"Techtronic Industries, Hong Kong",777,Hong Kong,214145226330.175,*,9,2733,Electrical components & equipment,Listed,73.73,3,28,92.0,3.8,6.8,80,Yes,52,-2,4.2,1915,-10,0,16772,-13,-22,4.4,19,62,96,782,-10,No,71.58,59.12,49.61,50.33
"Nippon Kayaku, Japan",921,Japan,5470777391091.97,*,6,1357,Specialty chemicals,Listed,69.70,-3,1,154.0,7.8,15.0,45,Yes,-46,-51,5.1,894,-7,-5,4040,-4,-5,17.3,2,6,,1012,6,Yes,71.67,72.49,69.31,63.18
"Ibiden, Japan",776,Japan,5470777391091.97,*,9,2733,Electrical components & equipment,Listed,76.88,7,43,1751.3,3.7,21.0,4,Yes,-99,-99,0.2,2057,-25,-10,11346,-11,7,6.8,20,35,27,2446,-21,No,71.75,57.89,45.24,39.78
"Citizen, Japan",738,Japan,5470777391091.97,*,9,2737,Electronic equipment,Listed,70.02,-3,-8,,3.5,9.8,-213,No,-259,-220,-10.8,1975,-12,-13,17359,-22,-11,4.0,24,2,29,1172,-10,No,71.84,91.68,73.64,67.96
"Ebara, Japan",675,Japan,5470777391091.97,*,21,2757,Industrial machinery,Listed,58.73,-18,-18,,1.8,6.5,-36,No,,,-1.1,3334,-12,-4,16102,0,3,3.6,-18,-21,,1103,5,Yes,71.92,75.55,72.39,66.48
"adidas, Germany",491,Germany,3260114884059.16,,33,3763,Clothing & accessories,Listed,76.41,6,6,17.0,0.8,2.7,449,Yes,-51,-43,4.9,9223,-4,10,39071,8,43,2.0,-2,-29,48,6934,28,Yes,71.97,74.63,87.07,55.98
"Toyobo, Japan",959,Japan,5470777391091.97,*,6,1353,Commodity chemicals,Listed,70.97,-2,5,,2.9,8.9,-123,No,-857,-224,-5.0,2443,-15,-11,11181,-4,-4,6.3,2,7,,784,-7,No,72.35,69.35,67.04,61.20
"Smiths, UK",804,UK,2427911661952.04,,17,2727,Diversified industrials,Listed,89.20,23,-38,25.9,3.3,5.5,344,Yes,16,15,12.9,2665,15,-11,21800,-4,-22,4.1,28,-18,74,4497,47,Yes,72.50,125.80,216.60,160.50
"SEI Investments, USA",233,USA,14617299295858.1,*,11,8771,Asset managers,Listed,64.34,-12,-21,29.0,9.8,11.6,222,Yes,67,3,33.8,657,-15,-7,2290,1,3,28.1,-13,-23,,2250,0,No,72.76,87.87,86.14,78.46
"Rhodia, France",923,France,2592078593347.73,,6,1357,Specialty chemicals,Listed,67.53,-7,-32,63.9,1.9,5.3,106,Yes,-57,-63,3.0,3582,-19,-25,13823,-4,-17,4.9,-4,-18,66,1202,67,Yes,72.86,99.51,104.84,119.06
"Commonwealth Bank of Australia, Australia",244,Australia,1122922429785.22,,4,8355,Banks,FT Global 500,196.04,169,484,5.5,2.1,8.1,3592,Yes,3,101,39.1,9175,13,135,44218,12,18,4.4,141,412,,44232,19,Yes,72.96,61.26,0.05,0.05
"Rieter, Switzerland",674,Switzerland,566764598976.798,,21,2757,Industrial machinery,Listed,59.13,-19,-29,,5.0,8.2,-112,No,,-297,-9.5,1172,-38,-43,12761,-10,-14,4.6,-10,-17,,824,72,Yes,73.26,84.53,86.74,86.68
"Repsol YPF, Spain",992,Spain,1418409880841.96,,31,537,Integrated oil & gas,FT Global 500,66.64,-10,2,2.4,0.2,9.4,2818,Yes,-37,-43,6.9,40767,-21,-13,39815,7,8,1.7,-15,-6,,17418,-2,No,73.75,68.41,63.97,55.98
"Newell Rubbermaid, USA",528,USA,14617299295858.1,*,20,3722,Durable household products,Listed,73.32,-1,9,20.8,2.1,4.9,352,Yes,185,18,10.2,3454,-14,-14,19500,-4,-17,3.8,4,28,,2761,17,Yes,74.00,68.86,63.16,63.78
"Tokuyama, Japan",957,Japan,5470777391091.97,*,6,1353,Commodity chemicals,Listed,78.97,6,18,,3.9,22.4,-16,No,-108,-110,-0.8,2002,-2,9,5295,5,11,14.9,2,7,,1154,-14,No,74.24,71.55,62.51,58.98
"Nippon Shokubai, Japan",919,Japan,5470777391091.97,*,6,1357,Specialty chemicals,Listed,80.37,8,15,,4.2,10.3,-19,No,-115,-113,-1.0,1923,-4,16,3415,4,17,23.5,4,-2,21,1164,17,Yes,74.36,73.99,67.32,63.39
"Hisamitsu Pharmaceutical, Japan",377,Japan,5470777391091.97,*,34,4577,Pharmaceuticals,Listed,63.96,-14,,28.7,7.7,11.3,223,Yes,10,,26.8,829,5,,1890,8,,33.8,-21,,,2356,15,Yes,74.73,,,
"Itron, USA",735,USA,14617299295858.1,*,9,2737,Electronic equipment,Listed,75.74,1,52,341.2,7.2,10.4,22,Yes,-66,-45,2.1,1045,-12,48,9000,3,67,8.4,-2,-25,,1425,10,Yes,74.74,58.78,36.40,28.81
"Advanced Semiconductor Engineering, Taiwan",90,Taiwan,392106000000,*,39,9576,Semiconductors,Listed,69.93,-7,15,37.2,4.2,17.6,188,Yes,-13,-19,11.3,1661,-9,-10,29538,9,,2.4,-15,,,2826,14,Yes,75.06,63.58,50.96,53.93
